UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1329190,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1330452,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1330614,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1331226,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1330711,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1331712,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1331741,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1332309,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1330979,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1332778,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1332880,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1360148,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1360242,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1360628,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1360740,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1362065,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1362499,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1362500,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364558,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364622,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364691,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364692,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364961,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1364999,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1365237,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
